alpha_model-1602994931, 42.2873, 13, 0.81, 0.01114, 0.88889, 0.00516
alpha_model-1602994931, 42.4987, 13, 0.79, 0.01138, 0.90278, 0.00565
alpha_model-1602994931, 42.7036, 13, 0.86, 0.00979, 0.91667, 0.0043
alpha_model-1602994931, 42.9082, 13, 0.85, 0.00776, 0.94444, 0.00184
alpha_model-1602994931, 43.1123, 13, 0.83, 0.00969, 0.93056, 0.00422
alpha_model-1602994931, 43.3163, 13, 0.85, 0.00955, 0.94444, 0.00361
alpha_model-1602994931, 43.5271, 13, 0.81, 0.01001, 0.95833, 0.00348
alpha_model-1602994931, 43.7338, 13, 0.85, 0.0092, 0.91667, 0.00526
alpha_model-1602994931, 43.9376, 13, 0.76, 0.01402, 0.91667, 0.00366
alpha_model-1602994931, 44.146, 13, 0.8, 0.0111, 0.98611, 0.0021
alpha_model-1602994931, 44.3483, 13, 0.76, 0.01216, 0.86111, 0.00862
alpha_model-1602994931, 44.5582, 13, 0.78, 0.01123, 0.90278, 0.0057
alpha_model-1602994931, 44.7643, 13, 0.83, 0.01131, 0.94444, 0.00371
alpha_model-1602994931, 44.9682, 13, 0.85, 0.00966, 0.93056, 0.00429
alpha_model-1602994931, 45.0271, 14, 0.75, 0.01314, 0.95833, 0.00307
alpha_model-1602994931, 45.238, 14, 0.82, 0.00966, 0.875, 0.0074
alpha_model-1602994931, 45.4423, 14, 0.92, 0.00508, 0.95833, 0.00217
alpha_model-1602994931, 45.6548, 14, 0.86, 0.00738, 0.91667, 0.00468
alpha_model-1602994931, 45.8607, 14, 0.87, 0.00689, 0.93056, 0.00535
alpha_model-1602994931, 46.0659, 14, 0.79, 0.01203, 0.94444, 0.00364
alpha_model-1602994931, 46.2724, 14, 0.84, 0.00869, 0.93056, 0.00383
alpha_model-1602994931, 46.4761, 14, 0.87, 0.00791, 0.91667, 0.00418
alpha_model-1602994931, 46.6837, 14, 0.84, 0.00953, 0.94444, 0.00275
alpha_model-1602994931, 46.8861, 14, 0.89, 0.00697, 0.94444, 0.00378
alpha_model-1602994931, 47.0902, 14, 0.77, 0.01381, 0.95833, 0.00226
alpha_model-1602994931, 47.2956, 14, 0.8, 0.01146, 0.875, 0.00669
alpha_model-1602994931, 47.4994, 14, 0.81, 0.01065, 0.95833, 0.00248
alpha_model-1602994931, 47.7083, 14, 0.8, 0.01107, 0.93056, 0.00461
alpha_model-1602994931, 47.9118, 14, 0.85, 0.00927, 0.88889, 0.00528
alpha_model-1602994931, 48.1191, 14, 0.81, 0.00989, 0.94444, 0.00328
alpha_model-1602994931, 48.178, 15, 0.79, 0.01255, 0.90278, 0.00532
alpha_model-1602994931, 48.3808, 15, 0.81, 0.01133, 0.88889, 0.00745
alpha_model-1602994931, 48.5913, 15, 0.9, 0.006, 0.94444, 0.00432
alpha_model-1602994931, 48.7992, 15, 0.76, 0.01317, 0.93056, 0.00337
alpha_model-1602994931, 49.003, 15, 0.78, 0.01222, 0.93056, 0.00324
alpha_model-1602994931, 49.2102, 15, 0.77, 0.0145, 0.94444, 0.00323
alpha_model-1602994931, 49.4134, 15, 0.85, 0.00798, 0.98611, 0.0015
alpha_model-1602994931, 49.6255, 15, 0.82, 0.01125, 0.90278, 0.00563
alpha_model-1602994931, 49.8313, 15, 0.86, 0.00946, 0.86111, 0.00705
alpha_model-1602994931, 50.0365, 15, 0.8, 0.01106, 0.94444, 0.00306
alpha_model-1602994931, 50.2437, 15, 0.79, 0.013, 0.95833, 0.00296
alpha_model-1602994931, 50.4498, 15, 0.88, 0.00691, 0.97222, 0.00179
alpha_model-1602994931, 50.6615, 15, 0.84, 0.00909, 0.98611, 0.00104
alpha_model-1602994931, 50.8661, 15, 0.77, 0.01266, 0.93056, 0.00382
alpha_model-1602994931, 51.0756, 15, 0.78, 0.01121, 0.94444, 0.00349
alpha_model-1602994931, 51.2834, 15, 0.83, 0.00939, 0.94444, 0.00325
alpha_model-1602994931, 51.3428, 16, 0.91, 0.00549, 0.94444, 0.00441
alpha_model-1602994931, 51.5485, 16, 0.85, 0.00992, 0.91667, 0.0042
alpha_model-1602994931, 51.76, 16, 0.81, 0.01057, 0.94444, 0.00353
alpha_model-1602994931, 51.964, 16, 0.78, 0.01183, 0.91667, 0.00503
alpha_model-1602994931, 52.171, 16, 0.83, 0.00992, 0.93056, 0.00359
alpha_model-1602994931, 52.377, 16, 0.86, 0.00865, 0.93056, 0.00393
alpha_model-1602994931, 52.5806, 16, 0.77, 0.01264, 0.95833, 0.00174
alpha_model-1602994931, 52.7926, 16, 0.76, 0.0135, 0.91667, 0.00434
alpha_model-1602994931, 52.997, 16, 0.81, 0.01213, 0.93056, 0.00475
alpha_model-1602994931, 53.2047, 16, 0.87, 0.00875, 0.94444, 0.00318
alpha_model-1602994931, 53.4086, 16, 0.87, 0.00783, 0.98611, 0.00086
alpha_model-1602994931, 53.6157, 16, 0.81, 0.01311, 0.95833, 0.00339
alpha_model-1602994931, 53.8261, 16, 0.8, 0.01043, 0.97222, 0.00212
alpha_model-1602994931, 54.0302, 16, 0.84, 0.00791, 0.93056, 0.00422
alpha_model-1602994931, 54.2339, 16, 0.86, 0.00831, 0.97222, 0.00164
alpha_model-1602994931, 54.4392, 16, 0.83, 0.00871, 0.94444, 0.00459
alpha_model-1602994931, 54.4979, 17, 0.84, 0.00825, 0.91667, 0.00508
alpha_model-1602994931, 54.7124, 17, 0.81, 0.01139, 0.97222, 0.00183
alpha_model-1602994931, 54.9173, 17, 0.92, 0.00687, 0.94444, 0.00334
alpha_model-1602994931, 55.1334, 17, 0.8, 0.01341, 0.93056, 0.00438
alpha_model-1602994931, 55.343, 17, 0.76, 0.01222, 0.90278, 0.00429
alpha_model-1602994931, 55.5682, 17, 0.8, 0.0123, 0.88889, 0.00559
alpha_model-1602994931, 55.7781, 17, 0.9, 0.00689, 0.93056, 0.00468
alpha_model-1602994931, 55.9831, 17, 0.84, 0.01078, 0.94444, 0.00323
alpha_model-1602994931, 56.1885, 17, 0.89, 0.00705, 0.95833, 0.00253
alpha_model-1602994931, 56.3948, 17, 0.87, 0.00805, 0.94444, 0.00292
alpha_model-1602994931, 56.5969, 17, 0.87, 0.00661, 0.94444, 0.00306
alpha_model-1602994931, 56.8063, 17, 0.83, 0.00939, 0.93056, 0.00369
alpha_model-1602994931, 57.0087, 17, 0.83, 0.01, 0.95833, 0.00308
alpha_model-1602994931, 57.2138, 17, 0.77, 0.01284, 0.94444, 0.00289
alpha_model-1602994931, 57.4162, 17, 0.87, 0.0081, 0.95833, 0.00179
alpha_model-1602994931, 57.6225, 17, 0.86, 0.00899, 0.91667, 0.00385
